"Brand","Model","Year","Price","EngineSize","Gear","Mileage","FuelType","Doors","Description"
"Volkswagen","Polo","2011 (11 reg)",NA,"1.4L","Manual","93,985 miles
19,589 miles above average","Petrol","5","1.4 SE Euro 5 5dr"
"KIA","Picanto","2012 (62 reg)","£1,145","1.0L","Manual","127,000 miles
62,334 miles above average","Petrol","5","1.0 1 Euro 5 5dr"
"Citroen","C4","2016 (16 reg)","£1,985","Manual","Manual","102,600 miles
45,316 miles above average","Petrol","5","1.2 PureTech Feel Euro 6 5dr"
"Citroen","DS4","2013 (13 reg)","£2,495","1.6L","Manual","102,513 miles
16,205 miles above average","Diesel","5","1.6 HDi DStyle Euro 5 5dr"
"Nissan","Almera","2005 (05 reg)","£495","1.5L","Manual","100,000 miles","Petrol","5","1.5 SE 5dr"
"MINI","Hatch","2010 (10 reg)",NA,"1.4L","Manual","120,000 miles
36,583 miles above average","Petrol","3","1.4 First Hatchback 3dr Petrol Manual Euro 4 (75 ps) FREE NATIONWIDE 6 MONTH WARRANTY"
"Renault","Clio","2015 (64 reg)","£2,999","1.5L","Manual","77,000 miles
3,448 miles below average","Diesel","5","1.5 dCi Dynamique MediaNav Euro 5 (s/s) 5dr"
"Audi","TT","2010 (10 reg)","£6,995","2.0L","Manual","64,823 miles
40,907 miles below average","Diesel","3","2.0 TDI S line Special Edition Coupe 3dr Diesel Manual quattro Euro 4 (170 ps)"
NA,NA,NA,NA,"5",NA,NA,NA,NA,NA
"Audi","A3","2021 (21 reg)","£21,695","Automatic","Automatic","29,597 miles
107 miles below average","Petrol","5","1.5 TFSI 35 S line Sportback 5dr Petrol S Tronic Euro 6 (s/s) (150 ps)"
"Vauxhall","Corsa","2011 (11 reg)","£2,475","1.4L","Automatic","111,000 miles
36,112 miles above average","Petrol","5","1.4 16V SE Auto Euro 5 5dr"
"Renault","Megane","2013 (62 reg)","£995","1.9L","Manual","102,000 miles
24,199 miles above average","Diesel","2","1.9 dCi Dynamique TomTom Euro 5 2dr"
"MINI","Hatch","2003 (52 reg)",NA,"Manual","Manual","165,000 miles","Petrol","4","1.6 Cooper Euro 3 3dr"
"MINI","Hatch","2010 (10 reg)","£550","1.6L","Manual","84,000 miles
1,046 miles above average","Petrol","3","1.6 One Hatchback 3dr Petrol Manual Euro 5 (98 ps)"
"Hyundai","Veloster","2013 (13 reg)","£2,495","1.6L","Manual","86,250 miles
20,947 miles above average","Petrol","4","1.6 GDi Hatchback 4dr Petrol Manual Euro 5 (140 ps)"
"Daihatsu","Materia","2008 (08 reg)","£750","1.5L","Manual","33,108 miles","Petrol","5","1.5 5dr"
"Ford","S-max","2011 (11 reg)",NA,"Manual","Manual","113,384 miles
19,162 miles above average","Petrol","7","S-Max 1.6T EcoBoost Titanium Euro 5 5dr"
"Vauxhall","Astra","2009 (59 reg)","£699","Manual","Manual","122,000 miles","Petrol","5","1.6i 16v SXi Sport Hatch 3dr"
"Nissan","Micra","2003 (03 reg)","£3,499","1.2L","Manual","78,288 miles","Petrol","3","1.2 16v SE Hatchback 3dr Petrol Manual (143 g/km, 79 bhp) DOG CAR! HEAD TURNER!"
"Volkswagen","Polo","2011 (11 reg)","£3,199","Manual","Manual","98,000 miles
11,579 miles above average","Petrol","5","1.2 Moda Euro 5 3dr"
"Vauxhall","Astra GTC","2016 (16 reg)",NA,"1.4L","Manual","34,955 miles
26,962 miles below average","Petrol","3","1.4i Turbo Sport Coupe 3dr Petrol Manual Euro 6 (s/s) (120 ps) - Cruise Control + Air Conditioning"
NA,NA,NA,NA,"Automatic",NA,NA,NA,"5",NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fiat","Seicento","2002 (51 reg)","£795","Manual","Manual","91,000 miles","Petrol","4","1.1 Sporting 3dr"
"Vauxhall","Corsa","2011 (11 reg)","£995","1.2L","Manual","98,408 miles
18,022 miles above average","Petrol","3","1.2 16V Excite Euro 5 3dr"
