Brand,Model,Year,Price,EngineSize,Gear,Mileage,FuelType,Doors,Description
Audi,"Q3 35 TFSI Black Edition 5dr S Tronic [20"" Alloy]",2025,"Â£43,000",1.5 L,Semiauto,"1,000",Petrol,5,"Audi Q3 35 TFSI Black Edition 5dr S Tronic [20"" Alloy] 2025 1.5 L Petrol Semiauto 5"
Audi,"Q3 40 TDI 193 Qtro Black Ed 5dr S Tronic [20"" Alloy]",2024,"Â£43,500",2.0 L,Semiauto,"4,500",Diesel,5,"Audi Q3 40 TDI 193 Qtro Black Ed 5dr S Tronic [20"" Alloy] 2024 2.0 L Diesel Semiauto 5"
Audi,Q4 e-tron Sportback 210kW 45 Quattro 82kWh Black Edition 5dr Auto,2024,"Â£44,750",Unknown,Automatic,"3,289",Electric,5,Audi Q4 e-tron Sportback 210kW 45 Quattro 82kWh Black Edition 5dr Auto 2024 Unknown Electric Automatic 5
Audi,A5 2.0 TFSI 150 Edition 1 4dr S Tronic,2025,"Â£45,000",2.0 L,Semiauto,"1,200",Petrol,4,Audi A5 2.0 TFSI 150 Edition 1 4dr S Tronic 2025 2.0 L Petrol Semiauto 4
Audi,A5 2.0 TFSI 150 S line 4dr S Tronic,2025,"Â£45,000",2.0 L,Semiauto,100,Petrol,4,Audi A5 2.0 TFSI 150 S line 4dr S Tronic 2025 2.0 L Petrol Semiauto 4
Audi,A5 2.0 TFSI 150 Edition 1 4dr S Tronic,2025,"Â£45,000",2.0 L,Semiauto,"1,500",Petrol,4,Audi A5 2.0 TFSI 150 Edition 1 4dr S Tronic 2025 2.0 L Petrol Semiauto 4
Audi,A6 45 TFSI Quattro Black Ed 4dr S Tronic,2024,"Â£45,000",2.0 L,Semiauto,"4,500",Petrol,4,Audi A6 45 TFSI Quattro Black Ed 4dr S Tronic 2024 2.0 L Petrol Semiauto 4
Audi,S5 S5 TDI 341 Quattro Black Edition 2dr Tiptronic,2024,"Â£45,750",3.0 L,Semiauto,"5,401",Diesel,2,Audi S5 S5 TDI 341 Quattro Black Edition 2dr Tiptronic 2024 3.0 L Diesel Semiauto 2
Audi,A3 S3 TFSI Black Edition Quattro 4dr S Tronic,2024,"Â£46,000",2.0 L,Semiauto,"1,800",Petrol,4,Audi A3 S3 TFSI Black Edition Quattro 4dr S Tronic 2024 2.0 L Petrol Semiauto 4
Audi,Q7 55 TFSI Quattro S Line 5dr Tiptronic,2023,"Â£47,000",3.0 L,Semiauto,"12,953",Petrol,5,Audi Q7 55 TFSI Quattro S Line 5dr Tiptronic 2023 3.0 L Petrol Semiauto 5
Audi,Q7 50 TDI Quattro Black Edition 5dr Tiptronic,2022,"Â£47,500",3.0 L,Semiauto,"40,401",Diesel,5,Audi Q7 50 TDI Quattro Black Edition 5dr Tiptronic 2022 3.0 L Diesel Semiauto 5
Audi,Q8 55 TFSI Quattro Black Edition 5dr Tiptronic,2021,"Â£48,000",3.0 L,Semiauto,"22,651",Petrol,5,Audi Q8 55 TFSI Quattro Black Edition 5dr Tiptronic 2021 3.0 L Petrol Semiauto 5
Audi,S3 S3 TFSI Black Edition Quattro 5dr S Tronic,2025,"Â£49,000",2.0 L,Semiauto,"1,500",Petrol,5,Audi S3 S3 TFSI Black Edition Quattro 5dr S Tronic 2025 2.0 L Petrol Semiauto 5
Audi,A6 50 TFSI e Quattro Black Edition 4dr S Tronic,2024,"Â£49,000",2.0 L,Semiauto,"5,100",Hybrid,4,Audi A6 50 TFSI e Quattro Black Edition 4dr S Tronic 2024 2.0 L Hybrid Semiauto 4
Audi,Q5 50 TFSI e Quattro Black Edition 5dr S Tronic,2024,"Â£49,750",2.0 L,Semiauto,"5,450",Hybrid,5,Audi Q5 50 TFSI e Quattro Black Edition 5dr S Tronic 2024 2.0 L Hybrid Semiauto 5
Audi,S6 S6 TDI Quattro Black Ed 4dr Tip Auto [Tech Pro],2024,"Â£50,000",3.0 L,Semiauto,"5,934",Diesel,4,Audi S6 S6 TDI Quattro Black Ed 4dr Tip Auto [Tech Pro] 2024 3.0 L Diesel Semiauto 4
Audi,A5 2.0 TFSI 150 S line 5dr S Tronic,2025,"Â£51,000",2.0 L,Semiauto,500,Petrol,5,Audi A5 2.0 TFSI 150 S line 5dr S Tronic 2025 2.0 L Petrol Semiauto 5
Audi,A6 Avant 50 TFSI e Quattro Black Edition 5dr S Tronic,2024,"Â£52,500",2.0 L,Semiauto,"7,247",Hybrid,5,Audi A6 Avant 50 TFSI e Quattro Black Edition 5dr S Tronic 2024 2.0 L Hybrid Semiauto 5
Audi,A7 50 TFSI e Quattro Black Edition 5dr S Tronic,2024,"Â£52,500",2.0 L,Semiauto,"5,000",Hybrid,5,Audi A7 50 TFSI e Quattro Black Edition 5dr S Tronic 2024 2.0 L Hybrid Semiauto 5
Audi,e-tron GT 390kW Quattro 93kWh 4dr Auto,2023,"Â£53,000",Unknown,Automatic,"11,809",Electric,4,Audi e-tron GT 390kW Quattro 93kWh 4dr Auto 2023 Unknown Electric Automatic 4
Audi,Q7 50 TDI Quattro Black Edition 5dr Tiptronic,2022,"Â£54,000",3.0 L,Semiauto,"11,571",Diesel,5,Audi Q7 50 TDI Quattro Black Edition 5dr Tiptronic 2022 3.0 L Diesel Semiauto 5
Audi,A5 2.0 TDI 204 S line 5dr S Tronic,2025,"Â£55,000",2.0 L,Semiauto,100,Diesel,5,Audi A5 2.0 TDI 204 S line 5dr S Tronic 2025 2.0 L Diesel Semiauto 5
Audi,A6 Avant 50 TFSI e Quattro Black Edition 5dr S Tronic,2025,"Â£56,500",2.0 L,Semiauto,"1,000",Hybrid,5,Audi A6 Avant 50 TFSI e Quattro Black Edition 5dr S Tronic 2025 2.0 L Hybrid Semiauto 5
Audi,SQ5 SQ5 TDI Quattro 5dr Tiptronic,2024,"Â£57,000",3.0 L,Semiauto,"4,467",Diesel,5,Audi SQ5 SQ5 TDI Quattro 5dr Tiptronic 2024 3.0 L Diesel Semiauto 5
Audi,Q7 50 TDI Quattro S Line 5dr Tiptronic,2024,"Â£59,000",3.0 L,Semiauto,"2,500",Diesel,5,Audi Q7 50 TDI Quattro S Line 5dr Tiptronic 2024 3.0 L Diesel Semiauto 5
Audi,RS3 RS 3 TFSI Quattro Vorsprung 5dr S Tronic,2023,"Â£59,750",2.5 L,Semiauto,603,Petrol,5,Audi RS3 RS 3 TFSI Quattro Vorsprung 5dr S Tronic 2023 2.5 L Petrol Semiauto 5
Audi,RS e-tron GT 475kW Quattro 93kWh Carbon Black 4dr Auto,2022,"Â£62,000",Unknown,Automatic,"10,893",Electric,4,Audi RS e-tron GT 475kW Quattro 93kWh Carbon Black 4dr Auto 2022 Unknown Electric Automatic 4
Audi,Q8 55 TFSI Quattro Black Edition 5dr Tiptronic,2024,"Â£62,500",3.0 L,Semiauto,"4,111",Petrol,5,Audi Q8 55 TFSI Quattro Black Edition 5dr Tiptronic 2024 3.0 L Petrol Semiauto 5
Audi,RS6 RS 6 TFSI Quattro Vorsprung 5dr Tiptronic,2021,"Â£75,000",4.0 L,Semiauto,"38,669",Petrol,5,Audi RS6 RS 6 TFSI Quattro Vorsprung 5dr Tiptronic 2021 4.0 L Petrol Semiauto 5
Audi,RS Q8 RS Q8 TFSI Quattro Vorsprung 5dr Tiptronic,2023,"Â£94,500",4.0 L,Semiauto,"18,384",Petrol,5,Audi RS Q8 RS Q8 TFSI Quattro Vorsprung 5dr Tiptronic 2023 4.0 L Petrol Semiauto 5
Audi,RS6 RS 6 TFSI Quattro Performance 5dr Tiptronic,2024,"Â£97,500",4.0 L,Semiauto,"1,401",Petrol,5,Audi RS6 RS 6 TFSI Quattro Performance 5dr Tiptronic 2024 4.0 L Petrol Semiauto 5
Audi,Q2 30 TFSI Technik 5dr,2021,"Â£14,250",1.0 L,Manual,"58,019",Petrol,5,Audi Q2 30 TFSI Technik 5dr 2021 1.0 L Petrol Manual 5
Audi,A1 30 TFSI Sport 5dr,2019,"Â£15,550",1.0 L,Manual,"24,221",Petrol,5,Audi A1 30 TFSI Sport 5dr 2019 1.0 L Petrol Manual 5
Audi,Q2 1.4 TFSI S Line 5dr S Tronic,2017,"Â£17,450",1.4 L,Semiauto,"21,932",Petrol,5,Audi Q2 1.4 TFSI S Line 5dr S Tronic 2017 1.4 L Petrol Semiauto 5
Audi,A1 30 TFSI 110 S Line 5dr,2021,"Â£17,695",1.0 L,Manual,"34,624",Petrol,5,Audi A1 30 TFSI 110 S Line 5dr 2021 1.0 L Petrol Manual 5
Audi,Q2 35 TFSI S Line 5dr S Tronic,2020,"Â£18,250",1.5 L,Semiauto,"51,183",Petrol,5,Audi Q2 35 TFSI S Line 5dr S Tronic 2020 1.5 L Petrol Semiauto 5
Audi,A1 30 TFSI Sport 5dr S Tronic,2020,"Â£18,650",1.0 L,Semiauto,"25,000",Petrol,5,Audi A1 30 TFSI Sport 5dr S Tronic 2020 1.0 L Petrol Semiauto 5
Audi,A1 25 TFSI S Line 5dr,2021,"Â£19,150",1.0 L,Manual,"7,167",Petrol,5,Audi A1 25 TFSI S Line 5dr 2021 1.0 L Petrol Manual 5
Audi,A1 30 TFSI 110 S Line 5dr S Tronic,2021,"Â£19,195",1.0 L,Semiauto,"31,804",Petrol,5,Audi A1 30 TFSI 110 S Line 5dr S Tronic 2021 1.0 L Petrol Semiauto 5
Audi,A1 25 TFSI S Line 5dr S Tronic,2022,"Â£19,995",1.0 L,Semiauto,"29,137",Petrol,5,Audi A1 25 TFSI S Line 5dr S Tronic 2022 1.0 L Petrol Semiauto 5
Audi,Q3 35 TFSI S Line 5dr S Tronic,2019,"Â£20,150",1.5 L,Semiauto,"56,538",Petrol,5,Audi Q3 35 TFSI S Line 5dr S Tronic 2019 1.5 L Petrol Semiauto 5
Audi,A1 35 TFSI Sport 5dr S Tronic,2021,"Â£20,495",1.5 L,Semiauto,"18,000",Petrol,5,Audi A1 35 TFSI Sport 5dr S Tronic 2021 1.5 L Petrol Semiauto 5
