"Brand","Model","Year","Price","EngineSize","Gear","Mileage","FuelType","Doors","Description","Car Age","Price per Mile","Engine Efficiency(mile/ltr)"
"Hyundai","Tucson 1.6 TGDi Hybrid 230 N Line S 5dr 2WD Auto",2023,25950,1.6,"Semiauto",18666,"Hybrid",5,"Hyundai Tucson 1.6 TGDi Hybrid 230 N Line S 5dr 2WD Auto 1.6  Semiauto Hybrid 5 2023",2,1.39,11666.25
"Honda","HR-V 1.5 eHEV Advance 5dr CVT",2023,26050,1.5,"Automatic",9027,"Hybrid",5,"Honda HR-V 1.5 eHEV Advance 5dr CVT 1.5  Automatic Hybrid 5 2023",2,2.89,6018
"Honda","Civic Type R 2.0 VTEC Turbo Type R GT 5dr",2019,27250,2,"Manual",37862,"Petrol",5,"Honda Civic Type R 2.0 VTEC Turbo Type R GT 5dr 2.0  Manual Petrol 5 2019",6,0.72,18931
"Hyundai","Tucson 1.6 TGDi 48V MHD 180 N Line S 5dr 4WD DCT",2023,27250,1.6,"Semiauto",16132,"Hybrid",5,"Hyundai Tucson 1.6 TGDi 48V MHD 180 N Line S 5dr 4WD DCT 1.6  Semiauto Hybrid 5 2023",2,1.69,10082.5
"Honda","ZR-V 2.0 eHEV Sport 5dr CVT",2023,27300,2,"Automatic",3751,"Hybrid",5,"Honda ZR-V 2.0 eHEV Sport 5dr CVT 2.0  Automatic Hybrid 5 2023",2,7.28,1875.5
"Honda","HR-V 1.5 eHEV Advance Style 5dr CVT",2024,27750,1.5,"Automatic",7943,"Hybrid",5,"Honda HR-V 1.5 eHEV Advance Style 5dr CVT 1.5  Automatic Hybrid 5 2024",1,3.49,5295.33
"Honda","ZR-V 2.0 eHEV Sport 5dr CVT",2024,27850,2,"Automatic",6000,"Hybrid",5,"Honda ZR-V 2.0 eHEV Sport 5dr CVT 2.0  Automatic Hybrid 5 2024",1,4.64,3000
"Honda","ZR-V 2.0 eHEV Advance 5dr CVT",2023,28350,2,"Automatic",11758,"Hybrid",5,"Honda ZR-V 2.0 eHEV Advance 5dr CVT 2.0  Automatic Hybrid 5 2023",2,2.41,5879
"Honda","Civic 2.0 eHEV Sport 5dr CVT",2024,29450,2,"Automatic",2900,"Hybrid",5,"Honda Civic 2.0 eHEV Sport 5dr CVT 2.0  Automatic Hybrid 5 2024",1,10.16,1450
"Honda","CR-V 2.0 i-MMD Hybrid EX 5dr eCVT",2022,29750,2,"Automatic",7861,"Hybrid",5,"Honda CR-V 2.0 i-MMD Hybrid EX 5dr eCVT 2.0  Automatic Hybrid 5 2022",3,3.78,3930.5
"Honda","Civic 2.0 eHEV Advance 5dr CVT",2022,29950,2,"Automatic",7407,"Hybrid",5,"Honda Civic 2.0 eHEV Advance 5dr CVT 2.0  Automatic Hybrid 5 2022",3,4.04,3703.5
"Honda","ZR-V 2.0 eHEV Advance 5dr CVT",2024,31050,2,"Automatic",4000,"Hybrid",5,"Honda ZR-V 2.0 eHEV Advance 5dr CVT 2.0  Automatic Hybrid 5 2024",1,7.76,2000
"Honda","Civic 2.0 eHEV Sport 5dr CVT",2024,31250,2,"Automatic",1,"Hybrid",5,"Honda Civic 2.0 eHEV Sport 5dr CVT 2.0  Automatic Hybrid 5 2024",1,31250,0.5
"Honda","HR-V 1.5 eHEV Advance 5dr CVT",2024,31500,1.5,"Automatic",1,"Hybrid",5,"Honda HR-V 1.5 eHEV Advance 5dr CVT 1.5  Automatic Hybrid 5 2024",1,31500,0.67
"Honda","ZR-V 2.0 eHEV Advance 5dr CVT",2024,33500,2,"Automatic",1000,"Hybrid",5,"Honda ZR-V 2.0 eHEV Advance 5dr CVT 2.0  Automatic Hybrid 5 2024",1,33.5,500
"Honda","CR-V 2.0 ePHEV Advance Tech 5dr eCVT",2024,38900,2,"Automatic",8000,"Hybrid",5,"Honda CR-V 2.0 ePHEV Advance Tech 5dr eCVT 2.0  Automatic Hybrid 5 2024",1,4.86,4000
"Honda","CR-V 2.0 ePHEV Advance Tech 5dr eCVT",2024,38900,2,"Automatic",8000,"Hybrid",5,"Honda CR-V 2.0 ePHEV Advance Tech 5dr eCVT 2.0  Automatic Hybrid 5 2024",1,4.86,4000
