"Brand","Model","Year","Price","EngineSize","Gear","Mileage","FuelType","Doors","Description"
"Volkswagen","Golf 1.4 TSI Match 5dr","2015","£10,595",1.4,"Manual","46,000 miles","Petrol","5 Door","2015 Volkswagen Golf Hatchback"
"Ford","Transit Custom 2.0 EcoBlue 170ps Low Roof Limited Van Auto","2020","£22,950",2,"Automatic","57,000 miles","Diesel","-","2020 Ford Transit Custom Van"
"Kia","Sportage 1.6 CRDi 48V ISG GT-Line 5dr","2021","£18,989",1.6,"Manual","11,850 miles","-","5 Door","2021 Kia Sportage SUV"
"Audi","S4 S4 TDI 341 Quattro Black Edition 4dr Tiptronic","2023","£34,000",3,"Automatic","25,379 miles","Diesel","4 Door","2023 Audi S4 Saloon"
"BMW","1 SERIES 1.5 118i Sport Hatchback 5dr Petrol Manual Euro 6 (s/s) (136 ps)","2018","£9,799",1.5,"Manual","68,450 miles","Petrol","5 Door","2018 BMW 1 SERIES Hatchback"
"Audi","A3 Saloon 30 TFSI S Line 4dr","2018","£13,948",1,"Manual","55,895 miles","Petrol","4 Door","2018 Audi A3 Saloon Saloon"
"Ford","Puma 1.0 EcoBoost Hybrid mHEV ST-Line 5dr","2023","£17,998",1,"Manual","14,366 miles","-","5 Door","2023 Ford Puma SUV"
"Skoda","Kodiaq 2.0 TSI 190 SE L 4x4 5dr DSG [7 Seat]","2022","£27,789",2,"Automatic","17,397 miles","Petrol","5 Door","2022 Skoda Kodiaq SUV"
"Skoda","Kodiaq 1.5 TSI iV 204 SE L 5dr DSG","2024","£37,900",1.5,"Automatic","3,957 miles","-","5 Door","2024 Skoda Kodiaq SUV"
"Ford","Focus 1.5 TDCi 120 ST-Line 5dr","2017","£10,995 ex VAT",1.5,"Manual","50,481 miles","Diesel","5 Door","2017 Ford Focus Hatchback"
"Kia","Sportage 1.6 GDi ISG 2 5dr","2021","£15,949",1.6,"Manual","27,739 miles","Petrol","5 Door","2021 Kia Sportage SUV"
"Nissan","Qashqai 1.3 DiG-T MH 158 Tekna+ 5dr Xtronic","2024","£34,750",1.3,"Automatic","4,000 miles","-","5 Door","2024 Nissan Qashqai SUV"
"Toyota","Corolla 1.8 VVT-i Hybrid Icon 5dr CVT","2020","£14,975",1.8,"Automatic","36,929 miles","-","5 Door","2020 Toyota Corolla Hatchback"
"Nissan","Juke 1.0 DiG-T 114 N-Connecta 5dr DCT","2023","£16,801",1,"Automatic","14,909 miles","Petrol","5 Door","2023 Nissan Juke SUV"
"Toyota","Aygo 1.0 VVT-i X-Play 5dr x-shift","2020","£12,139",1,"Automatic","13,896 miles","Petrol","5 Door","2020 Toyota Aygo Hatchback"
"Seat","Ateca 1.5 TSI EVO FR 5dr DSG","2024","£22,636",1.5,"Automatic","7,392 miles","Petrol","5 Door","2024 Seat Ateca SUV"
"Seat","Ateca 1.5 TSI EVO FR 5dr DSG","2024","£21,849",1.5,"Automatic","12,687 miles","Petrol","5 Door","2024 Seat Ateca SUV"
"Volvo","XC90 2.0 T8 [390] Hybrid Inscription Pro 5dr AWD Gtron","2020","£35,845",2,"Automatic","44,737 miles","-","5 Door","2020 Volvo XC90 SUV"
"Toyota","C-HR 2.0 PHEV GR Sport 5dr CVT","2024","£33,026",2,"Automatic","10,118 miles","-","5 Door","2024 Toyota C-HR SUV"
